pop.id,mf,dame_mf,sire_mf,Rep,bed,row,col,status,Type,block_2025,block,Unique.ID
(WL1 X WL2) x WL2,,,,,D,35,D,available,,,F,3759
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,D,36,C,available,BC1,,F,3843
(WL2 X DPR) X WL2,4_13-B,4,13-B,,D,36,D,available,BC1,,F,3930
,,,,,D,37,C,out-of-bounds,,,,
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,,D,37,D,available,BC1,,F,3907
(TM2 X WL2) X WL2,2_2-16,2,16-Feb,,D,38,C,available,BC1,,F,3953
BH,3_2025,3,2025,19,D,38,D,available,Parent,,F,3526
WL2,4,,,39,D,39,C,2025-survivor,,F,,1862
WL2,4_2025,4,2025,,D,39,D,available,Parent,,F,3813
(DPR X WL2) X WL2,9_7-16,9,16-Jul,,D,40,C,available,BC1,,F,3827
(WL2 X CC) X WL2,1_7-16,1,16-Jul,21,D,40,D,available,BC1,,F,3436
(WL2 X WV) X WL2,,,,1,D,41,C,available,BC1,,F,3230
(WL2 X WL1) X WL2,12,,12,4,D,41,D,available,BC1,,F,3389
TM2,6_2025,6,2025,,D,42,C,available,Parent,,F,3785
(WL2 X CC) X WL2,1_3,1,3,62,D,42,D,available,BC1,,F,3477
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,D,43,C,available,BC1,,F,3895
(WL1 X WL2) X WL2,10_2-12,10,12-Feb,,D,43,D,available,BC1,,F,3957
(WL1 X WL2) X WL2,10_2-A,10,2-A,9,D,44,C,available,BC1,,F,3302
WV,5_2023,5,2023,7,D,44,D,available,Parent,,F,3577
(WL2 X TM2) X WL2,2_2-16,2,16-Feb,,D,45,C,available,BC1,,F,3821
(WL2 x CC) x (WL2 x BH),1_1,,,2,D,45,D,2025-survivor,,F,,2543
BH,12_2025,12,2025,,D,46,C,available,Parent,,F,3695
(WL2 X CC) X WL2,1_3,1,3,,D,46,D,available,BC1,,F,3935
,,,,,D,47,C,buffer,,,E,
(WL2 X CC) X WL2,1_3,1,3,42,D,47,D,available,BC1,,F,3457
,,,,,D,48,D,available,,,E,
TM2,25_2025,25,2025,94,D,49,C,available,Parent,,E,3685
(WL2 X CC) X WL2,1_3,1,3,52,D,49,D,available,BC1,,E,3467
LV1,2_2025,2,2025,5,D,50,C,available,Parent,,E,3004
CC,6_2025,6,2025,3,D,50,D,available,Parent,,E,3531
(CC X WL2) X WL2,4_3,4,3,,D,51,C,available,BC1,,E,3863
(WL2 X WL1) x WL2,,,,,D,51,D,available,,,E,3832
(CC X WL2) X WL2,4_3,4,3,,D,52,C,available,BC1,,E,3875
(WL2 X CC) X WL2,1_7-16,1,16-Jul,20,D,52,D,available,BC1,,E,3435
(CC X WL2) X WL2,4_12,4,12,17,D,53,C,available,BC1,,E,3229
(WV x WL2) x (WL2 x BH),2_2,,,4,D,53,D,2025-survivor,,G,,2346
WL2,19_2025,19,2025,49,D,54,C,available,Parent,,E,3132
(WL1 X WL2) X WL2,10_2-A,10,2-A,7,D,54,D,available,BC1,,E,3300
WL2,15_2025,15,2025,81,D,55,C,available,Parent,,E,3164
TM2,12_2025,12,2025,18,D,55,D,available,Parent,,E,3609
WV,5_2023,5,2023,,D,56,C,available,Parent,,E,3709
TM2 x WL2,,,,7,D,56,D,2025-survivor,,G,,2485
(WL2 X DPR) X WL2,4_13-B,4,13-B,,D,57,C,available,BC1,,E,3928
(WL2 X DPR) X WL2,3_13-B,3,13-B,,D,57,D,available,BC1,,E,3913
DPR,19_2022,19,2022,14,D,58,C,available,Parent,,E,3563
TM2,30_2025,30,2025,28,E,5,B,available,Parent,,I,3619
,,,,,E,6,A,out-of-bounds,,,,
(WL2 X CC) X WL2,6_7-16,6,16-Jul,2,E,6,B,available,BC1,,I,3417
WL2,17_2025,17,2025,98,E,7,A,available,Parent,,I,3181
(WL2 X WL1) X WL2,3_12,3,12,29,E,7,B,available,BC1,,I,3414
TM2,11_2025,11,2025,,E,8,A,available,Parent,,I,3770
(DPR X WL2) X WL2,5_12,5,12,14,E,8,B,available,BC1,,I,3357
(WL2 X DPR) X WL2,3_13-B,3,13-B,,E,9,A,available,BC1,,I,3918
(WL2 X DPR) X WL2,3_13-B,3,13-B,15,E,9,B,available,BC1,,I,3283
(CC X WL2) X WL2,4_3,4,3,,E,10,A,available,BC1,,I,3865
(WV x WL2) x (WV),20_7-3,,,7,E,10,B,2025-survivor,,H,,2374
(WL2 X CC) X WL2,1_3,1,3,,E,11,A,available,BC1,,I,3945
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,E,11,B,available,BC1,,I,3839
WL2,7_2025,7,2025,19,E,12,A,available,Parent,,I,3102
,,,,,E,12,B,buffer,,,,buffer
(WL2 X WL1) X WL2,,,,8,E,13,A,available,BC1,,I,3393
,,,,,E,13,B,out-of-bounds,,,,
(WL2 X CC) X WL2,1_3,1,3,,E,14,A,available,BC1,,I,3950
(TM2 X WL2) X WL2,2_2 16,2,2 16,,E,14,B,available,BC1,,I,3902
,,,,,E,15,A,buffer,,,I,buffer
,,,,,E,15,B,buffer,,,I,
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,E,16,A,available,BC1,,J,3849
(WL2 X WL1) X WL2,2_7-16,2,16-Jul,11,E,16,B,available,BC1,,J,3396
LV1,1_2025,1,2025,3,E,17,A,available,Parent,,J,3002
(DPR X WL2) X WL2,9_7-16,9,16-Jul,36,E,17,B,available,BC1,,J,3379
TM2,26_2025,26,2025,,E,18,A,available,Parent,,J,3775
(WL2 X CC) X WL2,1_7-16,1,16-Jul,29,E,18,B,available,BC1,,J,3444
(WL2 X DPR) X WL2,3_13-B,3,13-B,16,E,19,A,available,BC1,,J,3284
WL2,18_2025,18,2025,95,E,19,B,available,Parent,,J,3178
(WL1 X WL2) x WL2,,,,,E,20,A,available,,,J,3760
(CC X WL2) X WL2,4_3,4,3,,E,20,B,available,BC1,,J,3869
(SQ3 x WL2) x (WL2),12_16-A,,,13,E,21,A,2025-survivor,,H,,2104
(WL2 X CC) X WL2,1_3,1,3,,E,21,B,available,BC1,,J,3933
WL2 x DPR,,,,1,E,22,A,2025-survivor,,H,,2014
(WL2 X WL1) X WL2,3_12,3,12,,E,22,B,available,BC1,,J,3717
TM2,25_2025,25,2025,,E,23,A,available,Parent,,J,3790
SQ3,2_2023,2,2023,,E,23,B,available,Parent,,J,3852
WL2,7_2025,7,2025,20,E,24,A,available,Parent,,J,3103
TM2,26_2025,26,2025,31,E,24,B,available,Parent,,J,3622
SQ3,7_2023,7,2023,14,E,25,A,available,Parent,,J,3034
(WL1 X WL2) X WL2,10_2-A,10,2-A,16,E,25,B,available,BC1,,J,3309
,,,,,E,26,A,buffer,,,J,buffer
,,,,,E,26,B,out-of-bounds,,,,
(WL2 X WV) X WL2,1_7-16,1,16-Jul,6,E,27,A,available,BC1,,K,3235
(CC X WL2) X WL2,4_3,4,3,6,E,27,B,available,BC1,,K,3218
TM2,38_2025,38,2025,,E,28,A,available,Parent,,K,3782
(WL2 x TM2) x (CC x TM2),2-3_2-3,,,8,E,28,B,2025-survivor,,I,,2453
(SQ3 x WL2) x (WL2),12_16-A,,,15,E,29,A,2025-survivor,,I,,2106
TM2,26_2025,26,2025,32,E,29,B,available,Parent,,K,3623
,,,,,E,30,A,out-of-bounds,,,,
,,,,,E,30,B,out-of-bounds,,,,
,,,,,E,31,A,out-of-bounds,,,,
,,,,,E,31,B,out-of-bounds,,,,
SQ3,5_2023,5,2023,,E,41,A,available,Parent,,K,3853
(WL2 X WV) X WL2,15_2-A,15,2-A,,E,41,B,available,BC1,,K,3891
(WL1 X WL2) x WL2,,,,,E,42,A,available,,,K,3754
WL2 x YO11,2-A_11-2,,,3,E,42,B,2025-survivor,,I,,2434
WL2,1_2025,1,2025,61,E,43,A,available,Parent,,K,3144
(WL2 X TM2) X WL2,2_2-16,2,16-Feb,,E,43,B,available,BC1,,K,3820
,,,,,E,44,A,out-of-bounds,,,,
(WL2 X CC) X WL2,1_3,1,3,,E,44,B,available,BC1,,K,3947
BH,11_2025,11,2025,,E,45,A,available,Parent,,K,3696
SQ3,8_2023,8,2023,15,E,45,B,available,Parent,,K,3035
(WL2 X WL1) X WL2,2,2,,12,E,46,A,available,BC1,,K,3397
(WL2 X DPR) X WL2,4_13-B,4,13-B,,E,46,B,available,BC1,,K,3951
(WL2 X CC) X WL2,1_3,1,3,54,E,47,A,available,BC1,,K,3469
(WL2 X CC) X WL2,1_12,1,12,,E,47,B,available,BC1,,K,3730
(WL2 X WL1) x WL2,,,,,E,48,A,available,,,K,3721
,,,,,E,48,B,out-of-bounds,,,,
,,,,,E,49,A,buffer,,,K,
,,,,,E,49,B,buffer,,,K,
WV,13_2023,13,2023,16,E,50,A,available,Parent,,L,3586
(WL2 X WL1) x WL2,,,,,E,50,B,available,,,L,3724
WL2,16_2025,16,2025,91,E,51,A,available,Parent,,L,3174
TM2,,,,96,E,51,B,2025-survivor,,J,,1800
WL2 x YO11,2-A_11-2,,,1,E,5,D,2025-survivor,,G,,2432
(DPR X WL2) X WL2,5_12,5,12,,E,6,C,available,BC1,,I,3766
,,,,,E,6,D,out-of-bounds,,,,
(CC X WL2) X WL2,4_3,4,3,4,E,7,D,available,BC1,,I,3216
(WL2 X CC) X WL2,1_3,1,3,37,E,7,C,available,BC1,,I,3452
(WL2 x BH) x (WL2 x TM2),2_3,,,9,E,8,C,2025-survivor,,G,,2541
WL2,27_2025,27,2025,,E,8,D,available,Parent,,I,3802
(WL2 X DPR) X WL2,4_13-B,4,13-B,25,E,9,C,available,BC1,,I,3293
(WL2 X WL1) x WL2,,,,,E,9,D,available,,,I,3831
SQ3,7_2023,7,2023,13,E,10,C,available,Parent,,I,3033
(WL1 X WL2) X WL2,8_13 13-B,8,13 13-B,34,E,10,D,available,BC1,,I,3327
WL2,27_2025,27,2025,45,E,11,C,available,Parent,,I,3128
(WL1 X WL2) x WL2,,,,,E,11,D,available,,,I,3749
,,,,,E,12,C,buffer,,,,buffer
WV,5_2023,5,2023,6,E,12,D,available,Parent,,I,3576
TM2,38_2025,38,2025,63,E,13,C,available,Parent,,I,3654
(WL2 X WV) X WL2,15_2-A,15,2-A,4,E,13,D,available,BC1,,I,3233
,,,,,E,14,C,out-of-bounds,,,I,
,,,,,E,14,D,buffer,,,I,buffer
(WL1 X WL2) x WL2,,,,,E,15,C,available,,,J,3734
(CC X WL2) X WL2,4_7-6,4,6-Jul,,E,15,D,available,BC1,,J,3887
(WL2 X CC) X WL2,1_12,1,12,,E,16,C,available,BC1,,J,3834
WL2,5_2025,5,2025,69,E,16,D,available,Parent,,J,3152
(WL2 X DPR) X WL2,3_13-B,3,13-B,,E,17,C,available,BC1,,J,3921
WL2,27_2025,27,2025,,E,18,C,available,Parent,,J,3801
(TM2 X WL2) X WL2,2_2-16,2,16-Feb,4,E,18,D,available,BC1,,J,3252
(WL2 X WL1) x WL2,,,,,E,19,C,available,,,J,3723
(CC X WL2) X WL2,4_3,4,3,5,E,19,D,available,BC1,,J,3217
(WL2 X CC) X WL2,1_3,1,3,48,E,20,C,available,BC1,,J,3463
BH,11_2025,11,2025,,E,20,D,available,Parent,,J,3697
(WL2 X DPR) X WL2,3_13-B,3,13-B,,E,21,C,available,BC1,,J,3914
(WL2 X WV) X WL2,1_7-16,1,16-Jul,5,E,21,D,available,BC1,,J,3234
(WL2 X CC) X WL2,6_7-16,6,16-Jul,3,E,22,C,available,BC1,,J,3418
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,E,23,C,available,BC1,,J,3896
(WL1 X WL2) X WL2,10_2-12,10,12-Feb,47,E,23,D,available,BC1,,J,3340
TM2,34_2025,34,2025,47,E,24,C,available,Parent,,J,3638
(DPR X WL2) X WL2,5_3,5,3,20,E,24,D,available,BC1,,J,3363
TM2,41_2025,41,2025,72,E,25,C,available,Parent,,J,3663
(WL2 X WL1) X WL2,2_7-16,2,16-Jul,,E,25,D,available,BC1,,J,3960
,,,,,E,26,C,buffer,,,J,buffer
,,,,,E,26,D,buffer,,,J,buffer
(WL2 X CC) X WL2,1_3,1,3,38,E,27,C,available,BC1,,K,3453
WV,13_2023,13,2023,,E,27,D,available,Parent,,K,3714
(WL2 X CC) X WL2,6_12,6,12,4,E,28,C,available,BC1,,K,3419
(WL2 X CC) X WL2,1_3,1,3,,E,28,D,available,BC1,,K,3883
((WL2 X WL1) X WL2) X WL2),2_28-2,2,28-2,9,E,29,C,available,BC2,,K,3492
(DPR X WL2) X WL2,5_3,5,3,22,E,29,D,available,BC1,,K,3365
,,,,,E,30,C,out-of-bounds,,,,
TM2,43_2025,43,2025,77,E,30,D,available,Parent,,K,3668
,,,,,E,31,C,out-of-bounds,,,,
,,,,,E,31,D,out-of-bounds,,,,
DPR x WL2,,,,2,E,41,C,2025-survivor,,I,,2477
WL2,8_2025,8,2025,24,E,41,D,available,Parent,,K,3107
BH x WL2,1-3_8-1,3-Jan,1-Aug,9,E,42,C,2025-survivor,,I,,2473
(WL2 X DPR) X WL2,3_3-B,3,3-B,17,E,42,D,available,BC1,,K,3285
TM2,40_2025,40,2025,68,E,43,C,available,Parent,,K,3659
WL2,27_2025,27,2025,,E,43,D,available,Parent,,K,3800
(WL1 X WL2) X WL2,10_7-16,10,16-Jul,38,E,44,C,available,BC1,,K,3331
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,,E,44,D,available,BC1,,K,3906
,,,,,E,45,C,buffer,,,,buffer
(CC X WL2) X WL2,4_3,4,3,,E,45,D,available,BC1,,K,3871
(WV X WL2) X WL2,2_13-B,2,13-B,,E,46,C,available,BC1,,K,3862
(DPR X WL2) X WL2,7_7-16,7,16-Jul,,E,46,D,available,BC1,,K,3824
DPR,2_2025,2,2025,,E,47,C,available,Parent,,K,3700
(WL1 X WL2) X WL2,10_2-A,10,2-A,17,E,47,D,available,BC1,,K,3310
WL2,1_2025,1,2025,,E,48,D,available,Parent,,K,3811
(WL1 X WL2) x WL2,,,,,E,49,C,available,,,K,3735
(TM2 x WL2) x (TM2),3_2-13,,,11,E,49,D,2025-survivor,,J,,2600
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,,E,50,C,available,BC1,,L,3955
(WL2) x (TM2 x WL2),16_14,,,2,E,50,D,2025-survivor,,J,,2308
TM2,39_2025,39,2025,66,E,51,C,available,Parent,,L,3657
(WL2 X WV) X WL2,1_7-16,1,16-Jul,7,E,51,D,available,BC1,,L,3236
WL2,2,,,19,F,4,A,2025-survivor,,J,,1842
(WL2 x BH) x (WL2 x CC),1_2,,,16,F,4,B,2025-survivor,,J,,2528
,,,,,F,5,A,buffer,,,,
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,F,5,B,available,BC1,,N,3845
(WV x TM2) x (TM2 x WL2),2_1,,,2,F,6,A,2025-survivor,,J,,2333
SQ3,7_2023,7,2023,,F,6,B,available,Parent,,N,3856
WL2,4,,,36,F,7,A,2025-survivor,,J,,1859
TM2,7_2025,7,2025,87,F,7,B,available,Parent,,N,3678
WL2 x YO11,2-A_11-2,,,2,F,8,A,2025-survivor,,J,,2048
(WL2 X WL1) X WL2,3_12,3,12,20,F,8,B,available,BC1,,N,3405
(WL2 X DPR) X WL2,4_13-B,4,13-B,,F,9,A,available,BC1,,N,3929
WV,4_2023,4,2023,2,F,9,B,available,Parent,,N,3572
DPR,15_2022,15,2022,,F,10,A,available,Parent,,N,3703
,,,,,F,11,A,buffer,,,M,buffer
,,,,,F,11,B,buffer,,,M,buffer
(WL2 X CC) X WL2,1_12,1,12,,F,12,A,available,BC1,,M,3835
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,F,12,B,available,BC1,,M,3893
(SQ3 x WL2) x (WL2),12_16-A,,,18,F,13,A,2025-survivor,,J,,2109
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,,F,13,B,available,BC1,,M,3905
TM2,28_2025,28,2025,,F,14,A,available,Parent,,M,3771
(WL1 X WL2) x WL2,,,,,F,14,B,available,,,M,3737
WL2,2_2025,2,2025,86,F,15,A,available,Parent,,M,3169
(WV x TM2) x (TM2 x WL2),2_1,,,7,F,15,B,2025-survivor,,K,,2611
(WL2 X CC) X WL2,1_12,1,12,8,F,16,A,available,BC1,,M,3423
DPR,13_2022,13,2022,,F,16,B,available,Parent,,M,3702
(WL2 X WL1) X WL2,5_3,5,3,18,F,17,A,available,BC1,,M,3403
(WL2 X CC) X WL2,1_3,1,3,,F,17,B,available,BC1,,M,3940
(WL2 X WV) X WL2,1_7-16,1,16-Jul,8,F,18,A,available,BC1,,M,3237
WV,5_2023,5,2023,,F,18,B,available,Parent,,M,3711
(WL1 X WL2) X WL2,10_12,10,12,22,F,19,A,available,BC1,,M,3315
WL2,9_2025,9,2025,26,F,19,B,available,Parent,,M,3109
WL2,13_2025,13,2025,78,F,20,A,available,Parent,,M,3161
(WL1 X WL2) X WL2,10_3,10,3,39,F,20,B,available,BC1,,M,3332
WL2,19_2025,19,2025,,F,21,A,available,Parent,,M,3806
TM2,25_2025,25,2025,,F,21,B,available,Parent,,M,3792
(CC X WL2) X WL2,4_3,4,3,8,F,22,A,available,BC1,,M,3220
SQ3,1_2023,1,2023,,F,22,B,available,Parent,,M,3855
,,,,,F,23,A,available,,,L,
,,,,,F,23,B,available,,,L,
(DPR X WL2) X WL2,9_7-16,9,16-Jul,,F,24,A,available,BC1,,L,3959
WL2 x SQ3,,,,2,F,24,B,2025-survivor,,K,,2027
WL2,8_2025,8,2025,25,F,25,A,available,Parent,,L,3108
(WL2 X DPR) X WL2,3_13-B,3,13-B,,F,25,B,available,BC1,,L,3916
(WL2 X CC) X WL2,1_3,1,3,53,F,26,A,available,BC1,,L,3468
SQ3,12,,,9,F,26,B,2025-survivor,,K,,1692
(WL2 X CC) X WL2,1_12,1,12,,F,27,A,available,BC1,,L,3836
(WV) x (WV x WL2),3_22,,,4,F,27,B,2025-survivor,,K,,2581
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,F,28,A,available,BC1,,L,3898
(WL1 X WL2) X WL2,10_2-A,10,2-A,19,F,28,B,available,BC1,,L,3312
,,,,,F,29,A,out-of-bounds,,,,
,,,,,F,29,B,out-of-bounds,,,,
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,,F,39,A,available,BC1,,L,3909
(CC X WL2) X WL2,4_3,4,3,7,F,39,B,available,BC1,,L,3219
SQ3,8_2023,8,2023,,F,40,A,available,Parent,,L,3854
(WL1 X WL2) X WL2,10_2-A,10,2-A,41,F,40,B,available,BC1,,L,3334
WL2,4_2025,4,2025,67,F,41,A,available,Parent,,L,3150
,,,,,F,41,B,buffer,,,,buffer
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,F,42,A,available,BC1,,L,3847
(WL2 X CC) X WL2,1_3,1,3,33,F,42,B,available,BC1,,L,3448
YO11,5,,,17,F,43,A,2025-survivor,,L,,1959
(CC X WL2) X WL2,4_7-6,4,6-Jul,,F,43,B,available,BC1,,L,3879
(WL2 x BH) x (WL2 x TM2),2_3,,,1,F,44,A,2025-survivor,,L,,2214
(YO11 X WL2) X WL2,5_7-16,5,16-Jul,2,F,44,B,available,BC1,,L,3202
WL2,5,,,48,F,45,A,2025-survivor,,L,,1871
(WL2 x TM2) x (WL2 x BH),1_2,,,1,F,45,B,2025-survivor,,L,,2290
(WV x WL2) x (WL2 x BH),2_2,,,7,F,4,C,2025-survivor,,J,,2349
,,,,,F,4,D,buffer,,,,
,,,,,F,5,C,buffer,,,,
,,,,,F,5,D,buffer,,,,
,,,,,F,6,C,out-of-bounds,,,,
(WL2 X CC) X WL2,1_3,1,3,40,F,6,D,available,BC1,,N,3455
(WV X WL2) X WL2,,,,,F,7,C,available,BC1,,N,3941
(WL1 X WL2) x WL2,,,,,F,7,D,available,,,N,3757
(WL1 X WL2) x WL2,,,,,F,8,C,available,,,N,3738
(WL2 X TM2) X WL2,,,,,F,8,D,available,BC1,,N,3942
(WL2 x BH) x (WL2 x CC),1_2,,,4,F,9,D,2025-survivor,,J,,2195
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,1,F,10,C,available,BC1,,N,3269
(WL1 X WL2) X WL2,10_12,10,12,33,F,10,D,available,BC1,,N,3326
(WL2 X DPR) X WL2,4_13-B,4,13-B,20,F,13,C,available,BC1,,M,3288
(WL2 X WV) X WL2,1_7-16,1,16-Jul,9,F,11,D,available,BC1,,N,3238
(DPR X WL2) X WL2,7_12,7,12,29,F,12,C,available,BC1,,M,3372
,,,,,F,12,D,buffer,,,M,buffer
,,,,,F,11,C,buffer,,,M,buffer
TM2,35_2025,35,2025,53,F,13,D,available,Parent,,M,3644
TM2,33_2025,33,2025,38,F,14,C,available,Parent,,M,3629
(WL2 X WL1) X WL2,3_12,3,12,,F,14,D,available,BC1,,M,3716
(WL2 X WL1) x WL2,,,,,F,15,C,available,,,M,3830
(WL1 X WL2) x WL2,,,,,F,15,D,available,,,M,3755
(WL2 X CC) X WL2,1_3,1,3,,F,16,C,available,BC1,,M,3881
(WL2 X CC) X WL2,1_3,1,3,65,F,16,D,available,BC1,,M,3480
(CC X WL2) X WL2,4_3,4,3,,F,17,C,available,BC1,,M,3876
(WL2 X DPR) X WL2,3_13-B,3,13-B,,F,17,D,available,BC1,,M,3915
(WL2 x WV) x (CC x WL2),1_1,,,3,F,18,C,2025-survivor,,K,,2298
,,,,,F,18,D,buffer,,,,buffer
(DPR X WL2) X WL2,7_12,7,12,,F,19,C,available,BC1,,M,3768
(TM2) x (TM2 x WL2),2-1_2,,,3,F,19,D,2025-survivor,,K,,2506
(WL2 x TM2) x (TM2),2_1-3,,,24,F,20,C,2025-survivor,,K,,2262
BH,15_2025,15,2025,1,F,20,D,available,Parent,,M,3508
(WL2 X CC) X WL2,1_7-16,1,16-Jul,31,F,21,C,available,BC1,,M,3446
,,,,,F,21,D,buffer,,,,buffer
(TM2 X WL2) X WL2,3_2-16,3,16-Feb,20,F,22,C,available,BC1,,M,3268
TM2,7_2025,7,2025,86,F,22,D,available,Parent,,M,3677
SQ3,12_2023,12,2023,19,F,23,C,available,Parent,,M,3039
(WV X WL2) X WL2,2_13-B,2,13-B,6,F,23,D,available,BC1,,M,3196
,,,,,F,24,C,buffer,,,L,
,,,,,F,24,D,buffer,,,L,
(WL2 x WV) x (CC x WL2),1_1,,,2,F,25,C,2025-survivor,,K,,2545
TM2,26_2025,26,2025,33,F,25,D,available,Parent,,L,3624
(TM2 x WL2) x (TM2),3_2-13,,,11,F,26,C,2025-survivor,,K,,2139
(DPR x TM2) x (TM2 x WL2),3_2,,,2,F,26,D,2025-survivor,,K,,2587
DPR,13_2022,13,2022,,F,27,C,available,Parent,,L,3701
WL2,10,,,91,F,27,D,2025-survivor,,K,,1914
(CC x WL2) x (WL2),4_13-B,,,9,F,28,C,2025-survivor,,K,,2438
TM2,25_2025,25,2025,96,F,28,D,available,Parent,,L,3687
,,,,,F,29,C,out-of-bounds,,,,
,,,,,F,29,D,out-of-bounds,,,,
WL2,18_2025,18,2025,,F,39,C,available,Parent,,L,3817
(WL2 X CC) X WL2,1_12,1,12,5,F,39,D,available,BC1,,L,3420
(WL2 X WL1) X WL2,2,2,,14,F,40,C,available,BC1,,L,3399
(WL1 X WL2) x WL2,,,,,F,40,D,available,,,L,3736
(WL2 X WL1) X WL2,5_3,5,3,30,F,41,C,available,BC1,,L,3415
(DPR X WL2) X WL2,5_2-A,5,2-A,,F,41,D,available,BC1,,L,3762
(DPR X WL2) X WL2,5_7-16,5,16-Jul,27,F,42,C,available,BC1,,L,3370
(WL1 X WL2) x WL2,,,,,F,42,D,available,,,L,3758
(WL2 X DPR) X WL2,3_13-B,3,13-B,18,F,43,C,available,BC1,,L,3286
(TM2 X WL2) X WL2,3_2,3,2,15,F,43,D,available,BC1,,L,3263
,,,,,F,44,C,buffer,,,,buffer
TM2,33_2025,33,2025,,F,44,D,available,Parent,,L,3776
SQ3,9_2023,9,2023,16,F,45,C,available,Parent,,L,3036
(WL2 x WV) x (CC x WL2),1_1,,,3,F,45,D,2025-survivor,,L,,2546
(WL2 X CC) X WL2,1_3,1,3,,F,46,C,available,BC1,,L,3937
(WL2) x (WL2 x TM2),3-14_2,,,5,G,4,A,2025-survivor,,L,,2460
WL2 x YO11,8-1_14-10,,,7,G,4,B,2025-survivor,,L,,2053
,,,,,G,5,A,buffer,,,,
WL2 x WV,,,,1,G,5,B,2025-survivor,,L,,2491
(SQ3 x WL2) x (WL2),3_13-B,,,1,G,6,A,2025-survivor,,L,,2092
(WL2 X CC) X WL2,1_12,1,12,9,G,6,B,available,BC1,,N,3424
TM2,26_2025,26,2025,,G,7,A,available,Parent,,N,3774
(WL2 X WL1) x WL2,,,,,G,7,B,available,,,N,3720
BH,15_2025,15,2025,2,G,8,A,available,Parent,,N,3509
WL2,7_2025,7,2025,,G,8,B,available,Parent,,N,3796
WL2,9_2025,9,2025,28,G,9,A,available,Parent,,N,3111
(CC X WL2) X WL2,4_3,4,3,9,G,9,B,available,BC1,,N,3221
(WL2 X DPR) X WL2,3_3-B,3,3-B,,G,10,A,available,BC1,,N,3952
TM2,33_2025,33,2025,39,G,10,B,available,Parent,,N,3630
(WL2 X CC) X WL2,1_3,1,3,59,G,11,A,available,BC1,,N,3474
(WV x WL2) x (WV),20_7-3,,,5,G,11,B,2025-survivor,,L,,2372
(WL2 x TM2) x (TM2),2_1-3,,,25,G,12,A,2025-survivor,,L,,2263
CC,8_2025,8,2025,6,G,12,B,available,Parent,,N,3534
(WL2 X WV) X WL2,15_2-A,15,2-A,,G,13,A,available,BC1,,N,3890
(WL2 X WL1) X WL2,12,,12,,G,13,B,available,BC1,,N,3715
,,,,,G,14,A,buffer,,,N,buffer
,,,,,G,14,B,buffer,,,N,buffer
WV,5_2023,5,2023,,G,15,A,available,Parent,,O,3710
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,G,15,B,available,BC1,,O,3840
TM2,38_2025,38,2025,61,G,16,A,available,Parent,,O,3652
BH,12_2025,12,2025,,G,16,B,available,Parent,,O,3694
WL2,23_2025,23,2025,,G,17,A,available,Parent,,O,3858
TM2,24_2025,24,2025,98,G,17,B,available,Parent,,O,3689
DPR,19_2022,19,2022,,G,18,A,available,Parent,,O,3706
(WL2 X TM2) X WL2,2_2-16,2,16-Feb,4,G,18,B,available,BC1,,O,3185
(WL2 X CC) X WL2,1_3,1,3,34,G,19,A,available,BC1,,O,3449
(WL1 X WL2) X WL2,10_12,10,12,24,G,19,B,available,BC1,,O,3317
(WL2 X CC) X WL2,1_12,1,12,10,G,20,A,available,BC1,,O,3425
WL2,10_2025,10,2025,29,G,20,B,available,Parent,,O,3112
(WL2 X DPR) X WL2,3_13-B,3,13-B,,G,21,A,available,BC1,,O,3917
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,2,G,21,B,available,BC1,,O,3270
(DPR x TM2) x (TM2 x WL2),3_2,,,7,G,22,A,2025-survivor,,M,,2084
(WL1 X WL2) x WL2,,,,,G,22,B,available,,,O,3747
(WL2 X WL1) X WL2,3_12,3,12,21,G,23,A,available,BC1,,O,3406
(WL2 x BH) x (WL2 x CC),1_2,,,7,G,23,B,2025-survivor,,M,,2198
BH,14_2025,14,2025,5,G,24,A,available,Parent,,O,3512
(WL2 X CC) X WL2,1_3,1,3,49,G,24,B,available,BC1,,O,3464
(WL2 X WV) X WL2,1_7-16,1,16-Jul,10,G,25,A,available,BC1,,O,3239
(WV X WL2) X WL2,,,,8,G,25,B,available,BC1,,O,3198
(CC X WL2) X WL2,4_3,4,3,,G,26,A,available,BC1,,O,3870
,,,,,G,26,B,buffer,,,O,buffer
,,,,,G,27,A,buffer,,,O,buffer
DPR,2_2025,2,2025,3,G,27,B,available,Parent,,P,3552
