block,bed,row,col,Unique.ID,Pop.Type,pop.id,mf,dame_mf,sire_mf,rep,FruitsY1,Establishment,Y1Surv,WintSurv,LifeHistory,SurvtoBud,FruitsY2,TotalFruit,ProbFruit,TotalFitness
B,C,32,B,1700,Parent,SQ3,7,7,NA,17,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,33,A,2523,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,10,NA,1,1,1,Non-Rep,0,NA,0,0,0
B,C,34,A,1745,Parent,TM2,5,5,NA,41,NA,1,1,1,Biennial,1,12,12,1,12
B,C,34,B,2467,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,8,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,35,A,2396,Parent,SQ3,5,5,NA,3,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,35,B,2427,F1,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,4,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,36,A,1905,Parent,WL2,NA,NA,NA,82,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,37,A,2381,F2,(YO11 x WL2) x (WL2),4_13-B,4,13-B,2,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
C,C,38,A,2009,F1,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,38,B,2230,F2,(WL2 x CC) x (YO11 x WL2),2_3,2,3,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,39,A,2487,F1,WL2 x CC,NA,NA,NA,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,39,B,1866,Parent,WL2,5,5,NA,43,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,40,A,2069,F2,(CC x WL2) x (WL2),4_13-B,4,13-B,9,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,40,B,2621,Parent,DPR,20,20,NA,17,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,41,A,2493,F1,YO11 x WL2,NA,NA,NA,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,41,B,2574,F2,(WV x WL2) x (WV),20_7-3,20,3-Jul,3,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,42,A,1747,Parent,TM2,6,6,NA,43,NA,1,1,1,Non-Rep,0,NA,0,0,0
C,C,43,B,2522,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,9,NA,1,1,1,Biennial,1,17,17,1,17
C,C,44,A,2558,F2,(WV x TM2) x (WL2 x TM2),3_1,3,1,2,NA,1,1,1,Biennial,1,14,14,1,14
C,C,44,B,2169,F2,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,1,NA,1,1,1,Biennial,1,NA,0,0,0
C,C,45,A,2165,F2,(TM2 x WL2) x (WL1 x TM2),2_1,2,1,2,11,1,1,0,Annual,NA,NA,11,1,11
C,C,45,B,2328,F2,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,13,NA,1,1,1,Biennial,1,NA,0,0,0
C,C,46,A,2408,Parent,WL1,18,18,NA,9,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,46,B,2392,F1,TM2 x WL2,NA,NA,NA,15,6,1,1,0,Annual,NA,NA,6,1,6
C,C,47,A,2154,F2,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,26,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,47,B,1933,Parent,WV,12,12,NA,12,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,48,A,1893,Parent,WL2,7,7,NA,70,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
C,C,48,B,2411,F1,BH x WL2,1-3_8-10,3-Jan,10-Aug,4,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
C,C,49,B,2551,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,5,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,50,A,1620,Parent,BH,1,1,NA,21,NA,1,1,1,Biennial,1,32,32,1,32
C,C,51,A,2579,F2,(WV) x (WV x WL2),3_22,3,22,2,NA,1,1,1,Biennial,1,0,0,0,0
C,C,51,B,2361,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,9,NA,1,1,1,Biennial,1,47,47,1,47
C,C,53,A,1990,F1,SQ3 x WL2,6-C_8-A,6-C,8-A,2,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
C,C,53,B,2286,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,48,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,54,A,1795,Parent,TM2,NA,NA,NA,91,3,1,1,0,Annual,NA,NA,3,1,3
D,C,55,A,2488,F1,WL2 x DPR,NA,NA,NA,2,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
D,C,55,B,2020,F1,WL2 x LV1,8-1_14-1,1-Aug,14-1,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,C,56,A,1936,Parent,WV,11,11,NA,15,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,C,56,B,2173,F2,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,5,NA,1,1,1,Biennial,1,33,33,1,33
D,C,57,A,2608,F2,(WV x TM2) x (TM2 x WL2),2_1,2,1,3,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
D,C,57,B,2398,Parent,SQ3,12,12,NA,11,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,C,58,B,1916,Parent,WL2,10,10,NA,93,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,4,C,2127,F2,(TM2 x WL2) x (TM2 x BH),14_13,14,13,2,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,5,C,2228,F2,(WL2 x CC) x (WL2 x BH),1_1,1,1,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,6,C,2476,F1,DPR x WL2,NA,NA,NA,1,NA,1,1,1,Non-Rep,0,NA,0,0,0
A,C,6,D,2314,F2,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,6,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,7,C,2051,F1,WL2 x YO11,8-1_14-10,1-Aug,14-10,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,7,D,2419,F1,SQ3 x WL2,6-C_8-A,6-C,8-A,3,NA,1,1,1,Biennial,1,NA,0,0,0
A,C,8,C,1826,Parent,WL2,1,1,NA,3,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,8,D,1699,Parent,SQ3,7,7,NA,16,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,9,C,2200,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,9,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,10,C,2006,F1,WL1 x WL2,2-3_2-2,3-Feb,2-Feb,1,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,11,C,2563,F2,(WV x WL2) x (WL2 x BH),2_2,2,2,5,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,11,D,2170,F2,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,12,C,1621,Parent,CC,1,1,NA,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,12,D,2258,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,20,NA,1,1,1,Biennial,1,1,1,1,1
A,C,13,C,2619,Parent,DPR,20,20,NA,15,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,13,D,2041,F1,WL2 x WV,NA,NA,NA,2,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,14,D,1873,Parent,WL2,5,5,NA,50,NA,1,1,1,Biennial,1,7,7,1,7
A,C,15,C,1738,Parent,TM2,4,4,NA,34,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,15,D,2555,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,9,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,16,C,2359,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,7,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,16,D,2115,F2,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,24,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,17,C,1608,Parent,BH,2,2,NA,9,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,17,D,2217,F2,(WL2 x BH) x (WL2 x TM2),2_3,2,3,4,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,18,C,2402,Parent,WL1,8,8,NA,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,18,D,1931,Parent,WV,12,12,NA,10,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,19,C,1861,Parent,WL2,4,4,NA,38,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,19,D,2391,F2,(YO11 x WL2) x (WL2),4_13-B,4,13-B,12,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,20,C,2360,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,8,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,20,D,2254,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,16,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,21,C,2303,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,8,NA,1,1,1,Non-Rep,0,NA,0,0,0
B,C,21,D,2550,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,22,C,2499,F2,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,12,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,22,D,2606,F2,(WV x TM2) x (TM2 x WL2),2_1,2,1,2,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,23,C,2405,Parent,WL1,8,8,NA,5,NA,1,1,1,Non-Rep,0,NA,0,0,0
B,C,24,C,2070,F2,(CC x WL2) x (WL2),4_13-B,4,13-B,10,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,24,D,1911,Parent,WL2,9,9,NA,88,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
B,C,25,C,1820,Parent,WL1,13,13,NA,18,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,25,D,1828,Parent,WL2,1,1,NA,5,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,28,C,1932,Parent,WV,12,12,NA,11,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,29,D,2269,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,31,2,1,0,NA,Annual,NA,NA,2,1,2
B,C,30,C,2620,Parent,DPR,20,20,NA,16,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,30,D,2646,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,50,5,1,1,0,Annual,NA,NA,5,1,5
B,C,31,C,2420,F1,SQ3 x WL2,6-C_8-A,6-C,8-A,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,31,D,2096,F2,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,32,C,2580,F2,(WV) x (WV x WL2),3_22,3,22,4,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,32,D,2430,F1,WL2 x LV1,2-A_14-A,2-A,14-A,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,33,C,2339,F2,(WV x TM2) x (TM2 x WL2),1_1,1,1,8,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,33,D,2410,F1,BH x WL2,1-3_8-10,3-Jan,10-Aug,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,34,C,2471,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,10,NA,1,1,1,Biennial,1,NA,0,0,0
B,C,34,D,2201,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,10,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,35,C,2218,F2,(WL2 x BH) x (WL2 x TM2),2_3,2,3,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,35,D,2153,F2,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,25,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,37,C,2260,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,22,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,38,C,1982,F1,LV1 x WL2,14_8,14,8,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,39,C,2220,F2,(WL2 x BH) x (WL2 x TM2),2_3,2,3,7,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,39,D,1821,Parent,WL1,13,13,NA,19,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,40,C,1992,F1,TM2 x WL2,2_2,2,2,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,40,D,2204,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,13,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,41,C,2607,F2,(WV x TM2) x (TM2 x WL2),2_1,2,1,3,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,41,D,2554,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,8,NA,1,1,1,Biennial,1,NA,0,0,0
C,C,42,C,2446,F2,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,6,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,42,D,2043,F1,WL2 x WV,NA,NA,NA,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
