parent.pop,elevation.group,elev_m,Lat,Long,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
BH,low,511.4294422,37.40985,-119.96458,historic,1965,68.76333333333334,0,55.325,7.280833333333334,22.2725,14.776666666666666,14.991666666666667,6.274327683408628,32.599999999999994,663.9,119.49813715552249,8.809999999999999,20.60333333333333,8.87,88.08,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1966,77.62083333333334,0,35.910833333333336,7.445,23.7125,15.57875,16.2675,7.078010161119373,36.17,430.93000000000006,166.79899150353498,11.53,25.935000000000002,0,94.54,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1967,67.32333333333334,0,64.7625,7.704166666666667,22.815833333333334,15.26,15.111666666666666,7.645634523878791,36.06,777.1500000000001,110.80769398239798,8.004999999999999,23.7,0,149.34,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1968,79.80333333333333,0,30.93666666666667,7.470833333333333,23.890833333333333,15.680833333333334,16.42,6.7854958395005145,37.199999999999996,371.24,97.19803934857386,5.17,23.445,0,73.47,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1969,70.38416666666667,0,81.47,7.559166666666667,22.440833333333334,15,14.881666666666668,7.3477516660169275,35.43,977.64,122.63326346244517,6.75,25.5,0.02,136.7,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1970,73.1925,0,46.01416666666667,7.365833333333334,23.844166666666666,15.605,16.478333333333335,6.773341125323602,34.760000000000005,552.17,116.21829737288418,8.725,22.89375,0,77.86,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1971,72.99166666666666,0,37.78583333333333,7.1241666666666665,22.589166666666667,14.856666666666666,15.465,7.058848197743586,34.76,453.42999999999995,126.43929194639234,11.934999999999999,23.884999999999998,0,35.18,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1972,84.98333333333333,0,26.669999999999998,7.216666666666668,23.169999999999998,15.193333333333333,15.953333333333333,7.477591169418779,37.21,320.04,147.0898546689183,5.04,25.567500000000003,0,26.11,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1973,75.28833333333333,0,57.221666666666664,7.7175,22.241666666666667,14.979583333333332,14.524166666666666,7.619452216749792,35.55,686.6599999999999,120.10921741913214,9.375,25.2,0,78.49,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1974,69.12833333333333,0,52.8425,7.800833333333333,23.0925,15.446666666666667,15.291666666666666,7.144648770975803,33.76,634.11,94.9078714729063,10.495,22.13,16.96,91.58,Water Year
