parent.pop,elevation.group,elev_m,Lat,Long,timeframe,Season,Year,Gowers_Dist,conf.low,conf.high,WL2_Lat,WL2_Long,Geographic_Dist
WL2,high,2020.115818,38.8263,-120.25242,Recent,Water Year,2024,0.14890422705845144,0.10463670964352034,0.18761777420025244,38.82599,-120.2509,136.2621716836303
SQ3,high,2373.170732,36.72109,-118.84933,Recent,Water Year,2024,0.2239157717564962,0.1946300867288,0.2550106569674624,38.82599,-120.2509,264779.79412553
WL1,mid,1613.837245,38.78608,-120.2143,Recent,Water Year,2024,0.23602999072611966,0.2102556961467703,0.2677395552058363,38.82599,-120.2509,5460.644397173772
WV,mid,748.8570558,40.74084,-123.00364,Recent,Water Year,2024,0.3320791317528017,0.30363589976097494,0.3589532571404618,38.82599,-120.2509,317600.3795559114
YO11,high,2872.295032,37.93844,-119.23157,Recent,Water Year,2024,0.35719505889737946,0.3323838238239116,0.3911597816185573,38.82599,-120.2509,132940.11264834137
LV1,high,2593.416641,40.47471,-121.50486,Recent,Water Year,2024,0.3858544234689429,0.3381180116341601,0.4321167826318294,38.82599,-120.2509,212682.4805822545
DPR,mid,1018.591893,39.22846,-120.81518,Recent,Water Year,2024,0.4131555704127316,0.3899668085249998,0.4460180612526132,38.82599,-120.2509,66245.65466431515
TM2,low,379.1526973,39.59255,-121.55072,Recent,Water Year,2024,0.41490181165428636,0.3843039130190715,0.44021266770428724,38.82599,-120.2509,140893.43148019144
CC,low,313,39.58597,-121.43311,Recent,Water Year,2024,0.4636703560491557,0.43435697624245745,0.5042295872603757,38.82599,-120.2509,132498.41828627142
BH,low,511.4294422,37.40985,-119.96458,Recent,Water Year,2024,0.5989076356945191,0.5750038451539207,0.6405146347414009,38.82599,-120.2509,159625.59620443787
WL2,high,2020.115818,38.8263,-120.25242,Historic,Water Year,2024,0.14803679063138664,0.0954335147627623,0.16981072555236892,38.82599,-120.2509,136.2621716836303
WL1,mid,1613.837245,38.78608,-120.2143,Historic,Water Year,2024,0.17267752771973652,0.12471235577660506,0.18646877830438752,38.82599,-120.2509,5460.644397173772
SQ3,high,2373.170732,36.72109,-118.84933,Historic,Water Year,2024,0.22515325768657954,0.18978021922130742,0.255902907446299,38.82599,-120.2509,264779.79412553
WV,mid,748.8570558,40.74084,-123.00364,Historic,Water Year,2024,0.2897052116314697,0.24083136485281373,0.31426763808363267,38.82599,-120.2509,317600.3795559114
DPR,mid,1018.591893,39.22846,-120.81518,Historic,Water Year,2024,0.3587622880339258,0.32759181347767163,0.3982994119399845,38.82599,-120.2509,66245.65466431515
TM2,low,379.1526973,39.59255,-121.55072,Historic,Water Year,2024,0.384882167431807,0.34612808378736737,0.42323505962638297,38.82599,-120.2509,140893.43148019144
YO11,high,2872.295032,37.93844,-119.23157,Historic,Water Year,2024,0.4236987039603747,0.37736363943825363,0.4613325775705938,38.82599,-120.2509,132940.11264834137
CC,low,313,39.58597,-121.43311,Historic,Water Year,2024,0.4250107142565613,0.38150856700582003,0.47219218874294133,38.82599,-120.2509,132498.41828627142
LV1,high,2593.416641,40.47471,-121.50486,Historic,Water Year,2024,0.446409364385348,0.4112225281559729,0.4905808873919519,38.82599,-120.2509,212682.4805822545
BH,low,511.4294422,37.40985,-119.96458,Historic,Water Year,2024,0.5437012759841224,0.4954171870580233,0.6020539359693113,38.82599,-120.2509,159625.59620443787
